user_id,date,name_en,name_ro,product_id,product_index
1808,21-07-2015,tropical fruit,Înghețată cornet cu aromă de vanilie și sos de fructe tropicale,tX3LYXmJOS6TN2PFMpFO,156
2552,05-01-2015,whole milk,Lapte bio 3.8% grăsime,IcwUMkUYjcT7xQRsb4sg,164
2300,19-09-2015,pip fruit,Vișine fără sâmburi,3vnv0j4bUpKOiofhqiiI,109
1187,12-12-2015,other vegetables,Cuburi pentru supă de legume bio,FZKSIYmsBDNJKqfJIp1f,102
3037,01-02-2015,whole milk,Lapte bio 3.8% grăsime,IcwUMkUYjcT7xQRsb4sg,164
4941,14-02-2015,rolls/buns,Mini rulouri cu brânză Feta,s8rYjoy2tF8HkqLyjESG,122
4501,08-05-2015,other vegetables,Cuburi pentru supă de legume bio,FZKSIYmsBDNJKqfJIp1f,102
3803,23-12-2015,pot plants,Îndulcitor,OHfGqLww3DDSFs396CjI,112
2762,20-03-2015,whole milk,Lapte bio 3.8% grăsime,IcwUMkUYjcT7xQRsb4sg,164
4119,12-02-2015,tropical fruit,Înghețată cornet cu aromă de vanilie și sos de fructe tropicale,tX3LYXmJOS6TN2PFMpFO,156
1340,24-02-2015,citrus fruit,Iaurt grecesc cu citrice și semințe,TC23pV4aNYBXVhTMtBRZ,30
2193,14-04-2015,beef,"Mici de porc, vită și oaie",oTDMEOtm4KwL79Jb9khC,8
1997,21-07-2015,frankfurter,Crenvurști Frankfurter,iOTElrPmJ3jTo3RSP9EU,56
4546,03-09-2015,chicken,Mușchiuleț de pui,nFLVAhpb0I9MuFsdFNYs,27
4736,21-07-2015,butter,Unt Pur 82% grăsime,vEbGWj80oUvr3gZQXCgV,15
1959,30-03-2015,fruit/vegetable juice,Suc de fructe Mystic Dragon,ZyTYg2zRrGUEHRSyjgW7,64
1974,03-05-2015,packaged fruit/vegetables,Bomboane gumate cu aromă de fructe Goldbears,i3HNuh8tgAbM4NmDbueJ,103
2421,02-09-2015,chocolate,Nuci cu cremă de ciocolată,wrbVsKj3P15dKOoBAtU5,28
1513,03-08-2015,specialty bar,Sare specială pentru mașina de spălat vase,rUCQA4lZ4rPvOtp2Dfoo,143
1905,07-07-2015,other vegetables,Cuburi pentru supă de legume bio,FZKSIYmsBDNJKqfJIp1f,102
2810,08-09-2015,butter milk,Praline de ciocolată cu lapte cu caramel și unt sărat Pavés,lwxBSLvZiEszHkCTX7ef,16
2867,12-11-2015,whole milk,Lapte bio 3.8% grăsime,IcwUMkUYjcT7xQRsb4sg,164
3962,18-09-2015,tropical fruit,Înghețată cornet cu aromă de vanilie și sos de fructe tropicale,tX3LYXmJOS6TN2PFMpFO,156
1088,30-11-2015,tropical fruit,Înghețată cornet cu aromă de vanilie și sos de fructe tropicale,tX3LYXmJOS6TN2PFMpFO,156
4976,17-07-2015,bottled water,Apă minerală naturală plată,UN1Q1WKwu4OH4UsaccIx,12
4056,12-06-2015,yogurt,"Iaurt cu specific grecesc, 2% grăsime",DHpkGQnbvCzrBOf8T9QH,165
3611,13-02-2015,sausage,Cârnați sticks,iKHF6NCPMXx1kPwGCNVp,130
1420,14-01-2015,other vegetables,Cuburi pentru supă de legume bio,FZKSIYmsBDNJKqfJIp1f,102
4286,08-03-2015,brown bread,Pâine prăjită cu rozmarin și sare de mare,hB7rv0eqUGkrN2Qrs7pH,14
4918,27-01-2015,yogurt,"Iaurt cu specific grecesc, 2% grăsime",DHpkGQnbvCzrBOf8T9QH,165
4783,22-10-2015,hamburger meat,Carne de vita pentru burger,VYHuSFYYt5oq8FrRgoPV,68
3709,26-10-2015,root vegetables,Păstârnac rădăcină,allre8XJw5VOx0Gkq9Mc,123
4289,08-10-2015,pork,Mușchiuleț de porc,pu4rYRkDANc5TejViKSr,111
1559,03-10-2015,beef,"Mici de porc, vită și oaie",oTDMEOtm4KwL79Jb9khC,8
2900,11-04-2015,pastry,Mini patiserie cu telemea,CzDMjyBQlEbKYN6xp90D,105
1905,21-02-2015,fruit/vegetable juice,Suc de fructe Mystic Dragon,ZyTYg2zRrGUEHRSyjgW7,64
3527,29-09-2015,canned beer,"Pere jumătăți cu caramel, conservă",gRdzq6QC76SnrbUTSzH9,20
1495,09-01-2015,root vegetables,Păstârnac rădăcină,allre8XJw5VOx0Gkq9Mc,123
3558,03-04-2015,citrus fruit,Iaurt grecesc cu citrice și semințe,TC23pV4aNYBXVhTMtBRZ,30
3128,20-04-2015,sausage,Cârnați sticks,iKHF6NCPMXx1kPwGCNVp,130
1863,04-08-2015,tropical fruit,Înghețată cornet cu aromă de vanilie și sos de fructe tropicale,tX3LYXmJOS6TN2PFMpFO,156
3841,19-07-2015,berries,Amestec fructe de pădure congelate,6bCistihD9ATUvXkZ81n,9
3903,06-10-2015,canned beer,"Pere jumătăți cu caramel, conservă",gRdzq6QC76SnrbUTSzH9,20
2658,16-10-2015,butter milk,Praline de ciocolată cu lapte cu caramel și unt sărat Pavés,lwxBSLvZiEszHkCTX7ef,16
4272,06-06-2015,coffee,"Lapte Barista UHT pentru cafea 3,5% grăsime",lEJtZCBevJcXWjFBNosO,34
1120,26-09-2015,pastry,Mini patiserie cu telemea,CzDMjyBQlEbKYN6xp90D,105
2676,15-08-2015,rolls/buns,Mini rulouri cu brânză Feta,s8rYjoy2tF8HkqLyjESG,122
